POT Value 1,POT Value 2,Gesture,Iteration
44890,30855,flex,3
44570,30599,flex,3
44874,28679,flex,3
44202,30183,flex,3
44746,30887,flex,3
44650,29639,flex,3
45115,31031,flex,3
45099,30359,flex,3
44906,29975,flex,3
44170,29767,flex,3
44746,30727,flex,3
44826,30231,flex,3
44890,30775,flex,3
44746,30007,flex,3
45163,30279,flex,3
44010,29639,flex,3
44730,30663,flex,3
44314,30615,flex,3
44506,29623,flex,3
45002,30679,flex,3
44570,29991,flex,3
44746,29415,flex,3
44458,30519,flex,3
44778,31383,flex,3
44650,29575,flex,3
45211,28390,flex,3
44378,30727,flex,3
44842,30183,flex,3
44170,29767,flex,3
44314,30759,flex,3
44186,30007,flex,3
44762,30279,flex,3
44762,30487,flex,3
44698,29159,flex,3
44778,30471,flex,3
44698,30519,flex,3
44586,29943,flex,3
44762,30295,flex,3
44810,30183,flex,3
44714,30471,flex,3
44266,29799,flex,3
44602,30695,flex,3
45067,30583,flex,3
44810,29671,flex,3
44490,29511,flex,3
44794,29671,flex,3
44506,30039,flex,3
44842,30807,flex,3
44906,30551,flex,3
44458,30359,flex,3
44506,30295,flex,3
44586,29847,flex,3
44138,29927,flex,3
44682,30183,flex,3
44586,31079,flex,3
44490,30135,flex,3
44730,29879,flex,3
44250,29975,flex,3
44554,30359,flex,3
44122,30167,flex,3
44906,30695,flex,3
45067,30343,flex,3
45034,29991,flex,3
44362,29591,flex,3
44890,30535,flex,3
44202,30007,flex,3
44730,30839,flex,3
44970,30279,flex,3
45115,30151,flex,3
44586,29735,flex,3
44442,30311,flex,3
44330,30551,flex,3
44554,30167,flex,3
45034,30935,flex,3
45002,30167,flex,3
44698,29767,flex,3
44826,29991,flex,3
45018,30599,flex,3
44570,30215,flex,3
44346,30791,flex,3
44458,30695,flex,3
44506,30247,flex,3
44458,29367,flex,3
44346,30775,flex,3
44682,30263,flex,3
44826,30359,flex,3
44506,30151,flex,3
44778,30119,flex,3
44682,30247,flex,3
45002,30375,flex,3
44426,30247,flex,3
45067,30695,flex,3
44810,29543,flex,3
44874,30199,flex,3
44714,29959,flex,3
44906,30599,flex,3
44218,30247,flex,3
45115,30695,flex,3
44458,30487,flex,3
44330,30519,flex,3
44522,29095,flex,3
44762,30615,flex,3
44490,30007,flex,3
44634,29799,flex,3
44842,30727,flex,3
44890,30119,flex,3
44970,30295,flex,3
44474,30423,flex,3
44698,30471,flex,3
44554,30087,flex,3
44458,30951,flex,3
44282,30327,flex,3
44842,30007,flex,3
44314,29703,flex,3
44874,30631,flex,3
44138,30055,flex,3
44794,30439,flex,3
45115,30535,flex,3
44810,30247,flex,3
44682,29143,flex,3
44346,30775,flex,3
45018,30119,flex,3
44586,29959,flex,3
45002,30567,flex,3
44858,30007,flex,3
44250,30359,flex,3
44266,30487,flex,3
44922,30663,flex,3
44650,30007,flex,3
45115,30615,flex,3
44922,30375,flex,3
45002,29879,flex,3
44378,29751,flex,3
44698,30359,flex,3
44602,30407,flex,3
45034,30887,flex,3
44954,30247,flex,3
44634,29719,flex,3
44586,29351,flex,3
44442,29175,flex,3
44474,31431,flex,3
44458,31511,flex,3
45323,29639,flex,3
44954,30055,flex,3
44170,29863,flex,3
44938,30119,flex,3
44778,29895,flex,3
44634,30647,flex,3
44826,29719,flex,3
44986,30855,flex,3
44458,29799,flex,3
44954,30599,flex,3
44858,30039,flex,3
44810,30855,flex,3
44394,31191,flex,3
44826,29927,flex,3
44202,27958,flex,3
44570,30103,flex,3
44778,31047,flex,3
44714,31431,flex,3
44890,30231,flex,3
44874,29287,flex,3
44938,31207,flex,3
44522,30087,flex,3
44954,30359,flex,3
44746,29607,flex,3
44778,31063,flex,3
44794,30487,flex,3
44874,29927,flex,3
43882,29495,flex,3
44938,30855,flex,3
44090,29975,flex,3
44890,30407,flex,3
45018,29831,flex,3
44442,29719,flex,3
44122,29799,flex,3
44490,30439,flex,3
44426,30871,flex,3
44138,30199,flex,3
45211,29911,flex,3
44778,29271,flex,3
44682,31047,flex,3
44458,30471,flex,3
44986,30679,flex,3
44218,28342,flex,3
44394,31031,flex,3
44970,29879,flex,3
44634,30871,flex,3
43994,30519,flex,3
44842,30295,flex,3
44762,29015,flex,3
44554,29959,flex,3
44986,30295,flex,3
44906,29687,flex,3
44650,29431,flex,3
44554,31239,flex,3
44170,30823,flex,3
44522,31015,flex,3
44394,29959,flex,3
44378,29335,flex,3
44138,29719,flex,3
44970,31015,flex,3
44362,31095,flex,3
44378,30295,flex,3
44714,29511,flex,3
44778,30983,flex,3
43946,30487,flex,3
44618,30023,flex,3
44938,29271,flex,3
44826,30759,flex,3
44826,31063,flex,3
44954,29143,flex,3
44762,30311,flex,3
44570,29751,flex,3
44778,30247,flex,3
44650,29975,flex,3
44650,31639,flex,3
44810,29335,flex,3
44890,30343,flex,3
44890,31047,flex,3
45018,30359,flex,3
44362,28198,flex,3
44346,31159,flex,3
44826,31959,flex,3
44698,31927,flex,3
44506,28182,flex,3
45002,30439,flex,3
44314,30167,flex,3
44202,28582,flex,3
45131,29879,flex,3
44426,30039,flex,3
44698,30887,flex,3
44842,29415,flex,3
45018,31335,flex,3
44762,30999,flex,3
44666,28390,flex,3
44410,34488,flex,3
44874,29463,flex,3
44074,29543,flex,3
44346,29959,flex,3
44330,26294,flex,3
44746,31783,flex,3
44666,31511,flex,3
45195,30023,flex,3
44570,29799,flex,3
44266,30615,flex,3
44666,29287,flex,3
44314,29991,flex,3
44842,30055,flex,3
44506,29991,flex,3
44810,30151,flex,3
44458,30183,flex,3
44810,30775,flex,4
44698,30023,flex,4
45227,30999,flex,4
44522,30615,flex,4
45227,30359,flex,4
44314,29783,flex,4
44618,30407,flex,4
45018,30087,flex,4
44394,30663,flex,4
44698,30775,flex,4
44618,30247,flex,4
44938,30167,flex,4
44778,30231,flex,4
44986,29159,flex,4
44586,30039,flex,4
45115,31063,flex,4
45291,30487,flex,4
45291,30183,flex,4
44106,29543,flex,4
45083,30615,flex,4
44650,30087,flex,4
45067,30407,flex,4
44890,30871,flex,4
44698,30807,flex,4
44378,28214,flex,4
44890,30631,flex,4
44826,30551,flex,4
44730,30007,flex,4
45131,31063,flex,4
44522,30279,flex,4
44954,29639,flex,4
44586,29975,flex,4
44810,30807,flex,4
44618,30151,flex,4
45275,30519,flex,4
44842,30279,flex,4
44490,30295,flex,4
44378,29959,flex,4
45002,30823,flex,4
44314,29719,flex,4
44778,30615,flex,4
44426,30407,flex,4
44922,29991,flex,4
44266,30247,flex,4
44506,30231,flex,4
45067,30599,flex,4
45099,30791,flex,4
44938,29975,flex,4
44762,30119,flex,4
44618,30375,flex,4
45099,30039,flex,4
44346,29911,flex,4
44826,30919,flex,4
44634,30279,flex,4
44986,30743,flex,4
44586,29687,flex,4
44618,30615,flex,4
44586,29895,flex,4
44330,29479,flex,4
44554,30663,flex,4
44810,30151,flex,4
44650,29895,flex,4
44602,30471,flex,4
44746,30679,flex,4
44074,29783,flex,4
45131,30855,flex,4
45067,30167,flex,4
44522,30183,flex,4
44522,29847,flex,4
44682,30743,flex,4
44474,29927,flex,4
45163,30679,flex,4
45163,30855,flex,4
44618,29751,flex,4
44618,29351,flex,4
45018,30935,flex,4
44186,30135,flex,4
44314,29495,flex,4
45099,30199,flex,4
44938,30151,flex,4
44426,30231,flex,4
44842,30183,flex,4
44778,30231,flex,4
44554,30647,flex,4
44746,30295,flex,4
44394,30247,flex,4
44570,29959,flex,4
44026,29767,flex,4
44618,30439,flex,4
44762,30007,flex,4
45131,30951,flex,4
45099,30231,flex,4
44394,30215,flex,4
44426,28823,flex,4
44906,30919,flex,4
44522,29399,flex,4
44730,31015,flex,4
44986,30807,flex,4
44874,29127,flex,4
44330,30167,flex,4
44346,29991,flex,4
44682,30263,flex,4
45291,30807,flex,4
45067,30311,flex,4
45131,30087,flex,4
44058,30135,flex,4
44538,30439,flex,4
44458,29991,flex,4
44730,31047,flex,4
44586,30279,flex,4
44346,30215,flex,4
43962,29767,flex,4
44858,30903,flex,4
44138,29639,flex,4
44842,30439,flex,4
45211,30631,flex,4
44506,30055,flex,4
44746,30567,flex,4
44682,30215,flex,4
44346,30951,flex,4
44426,29319,flex,4
44874,29959,flex,4
45018,30295,flex,4
44266,30295,flex,4
44266,29783,flex,4
44698,30855,flex,4
44202,30087,flex,4
45002,30935,flex,4
44586,30391,flex,4
44858,30423,flex,4
44698,29415,flex,4
44458,30519,flex,4
44650,30119,flex,4
44874,30391,flex,4
44426,30439,flex,4
44762,30135,flex,4
44602,29767,flex,4
44730,30487,flex,4
44890,30599,flex,4
44570,30103,flex,4
45179,30855,flex,4
44906,30407,flex,4
44362,29575,flex,4
44522,29655,flex,4
44362,30455,flex,4
44522,29719,flex,4
44458,31143,flex,4
44634,30231,flex,4
44858,30183,flex,4
44314,29591,flex,4
44810,30615,flex,4
44250,30167,flex,4
44714,30311,flex,4
44842,30871,flex,4
44490,29175,flex,4
44362,29607,flex,4
44554,30423,flex,4
